batch_size,seq_len,max_new_tokens,tokens_per_seq,throughput_tps,latency_ms_per_tok,decode_ms_per_tok,ttft_ms,wall_time_std_s,peak_vram_gb,n_runs,error,status,quantization,model,timestamp,hw_gpu_name,hw_gpu_count,hw_cuda_version,hw_torch_version,hw_transformers,hw_bitsandbytes,hw_python
1,64,50,50,13.18,75.868,75.512,93.33,0.0433,2.018,10,,ok,int4,microsoft/phi-2,2026-04-21T09:12:10.780627,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
1,128,50,50,13.27,75.368,74.919,97.37,0.0502,2.064,10,,ok,int4,microsoft/phi-2,2026-04-21T09:12:57.078907,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
1,256,50,50,13.06,76.566,75.556,126.03,0.0359,2.173,10,,ok,int4,microsoft/phi-2,2026-04-21T09:13:44.399972,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
1,512,50,50,12.83,77.928,75.179,212.62,0.0277,2.352,10,,ok,int4,microsoft/phi-2,2026-04-21T09:14:33.319316,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
4,64,50,50,42.44,94.248,93.603,125.85,0.0412,2.254,10,,ok,int4,microsoft/phi-2,2026-04-21T09:15:31.099174,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
4,128,50,50,41.64,96.053,93.84,204.53,0.0556,2.425,10,,ok,int4,microsoft/phi-2,2026-04-21T09:16:30.752770,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
4,256,50,50,40.02,99.951,94.658,359.32,0.039,2.791,10,,ok,int4,microsoft/phi-2,2026-04-21T09:17:34.348124,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
4,512,50,50,37.57,106.459,94.878,673.92,0.064,3.67,10,,ok,int4,microsoft/phi-2,2026-04-21T09:18:44.888931,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
8,64,50,50,82.95,96.439,94.174,207.42,0.0583,2.554,10,,ok,int4,microsoft/phi-2,2026-04-21T09:19:44.860475,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
8,128,50,50,79.7,100.381,94.929,367.51,0.0474,2.896,10,,ok,int4,microsoft/phi-2,2026-04-21T09:20:48.666014,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
8,256,50,50,74.81,106.931,95.592,662.57,0.0431,3.727,10,,ok,int4,microsoft/phi-2,2026-04-21T09:21:59.517448,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
8,512,50,50,66.24,120.774,95.789,1345.04,0.03,5.476,10,,ok,int4,microsoft/phi-2,2026-04-21T09:23:25.397677,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
16,64,50,50,160.01,99.996,94.637,362.58,0.0517,3.143,10,,ok,int4,microsoft/phi-2,2026-04-21T09:24:28.993967,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
16,128,50,50,149.77,106.827,95.613,656.33,0.0471,3.893,10,,ok,int4,microsoft/phi-2,2026-04-21T09:25:39.711267,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
16,256,50,50,132.2,121.024,96.344,1330.36,0.0502,5.604,10,,ok,int4,microsoft/phi-2,2026-04-21T09:27:05.726730,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
16,512,50,50,94.37,169.553,117.662,2712.2,0.0257,9.108,10,,ok,int4,microsoft/phi-2,2026-04-21T09:29:14.532663,Tesla T4,2,12.8,2.10.0+cu128,5.0.0,0.49.2,3.12.12
